latitude,longitude,irradiance
-60.0,-90.0,2.247384615384615
-60.0,-88.0,2.230538461538462
-60.0,-86.0,2.2296923076923076
-60.0,-84.0,2.244076923076923
-60.0,-82.0,2.2567692307692306
-60.0,-80.0,2.273
-60.0,-78.0,2.2940769230769233
-60.0,-76.0,2.300153846153846
-60.0,-74.0,2.2904615384615385
-60.0,-72.0,2.296076923076923
-60.0,-70.0,2.3052307692307688
-60.0,-68.0,2.339846153846154
-60.0,-66.0,2.3843846153846155
-60.0,-64.0,2.4003076923076923
-60.0,-62.0,2.3654615384615383
-60.0,-60.0,2.3372307692307697
-58.0,-90.0,2.377
-58.0,-88.0,2.378
-58.0,-86.0,2.4017692307692307
-58.0,-84.0,2.4142307692307696
-58.0,-82.0,2.4137692307692307
-58.0,-80.0,2.4162307692307694
-58.0,-78.0,2.4053076923076926
-58.0,-76.0,2.387615384615385
-58.0,-74.0,2.377846153846154
-58.0,-72.0,2.379769230769231
-58.0,-70.0,2.4050000000000002
-58.0,-68.0,2.4422307692307688
-58.0,-66.0,2.476923076923077
-58.0,-64.0,2.5151538461538463
-58.0,-62.0,2.504769230769231
-58.0,-60.0,2.513
-56.0,-90.0,2.539076923076923
-56.0,-88.0,2.550769230769231
-56.0,-86.0,2.570153846153846
-56.0,-84.0,2.561
-56.0,-82.0,2.5613846153846156
-56.0,-80.0,2.5530769230769232
-56.0,-78.0,2.5366923076923076
-56.0,-76.0,2.4813076923076927
-56.0,-74.0,2.4073846153846152
-56.0,-72.0,2.2936153846153844
-56.0,-70.0,2.3833076923076923
-56.0,-68.0,2.548
-56.0,-66.0,2.6778461538461538
-56.0,-64.0,2.7807692307692307
-56.0,-62.0,2.797
-56.0,-60.0,2.736923076923077
-54.0,-90.0,2.7304615384615385
-54.0,-88.0,2.722923076923077
-54.0,-86.0,2.727153846153846
-54.0,-84.0,2.723153846153846
-54.0,-82.0,2.7153846153846155
-54.0,-80.0,2.6660000000000004
-54.0,-78.0,2.583769230769231
-54.0,-76.0,2.387153846153846
-54.0,-74.0,2.2353076923076927
-54.0,-72.0,2.800923076923077
-54.0,-70.0,3.279923076923077
-54.0,-68.0,3.3382307692307696
-54.0,-66.0,3.3339230769230768
-54.0,-64.0,3.231923076923077
-54.0,-62.0,3.157230769230769
-54.0,-60.0,3.091615384615385
-52.0,-90.0,2.889769230769231
-52.0,-88.0,2.8888461538461545
-52.0,-86.0,2.878076923076923
-52.0,-84.0,2.8706153846153843
-52.0,-82.0,2.8380769230769225
-52.0,-80.0,2.7864615384615385
-52.0,-78.0,2.6609999999999996
-52.0,-76.0,2.2743846153846152
-52.0,-74.0,2.9084615384615384
-52.0,-72.0,3.5652307692307694
-52.0,-70.0,3.405538461538461
-52.0,-68.0,3.5973076923076923
-52.0,-66.0,3.63
-52.0,-64.0,3.5700000000000003
-52.0,-62.0,3.3948461538461543
-52.0,-60.0,3.1854615384615386
-50.0,-90.0,3.041692307692308
-50.0,-88.0,3.0526153846153847
-50.0,-86.0,3.048846153846154
-50.0,-84.0,3.031153846153846
-50.0,-82.0,2.995
-50.0,-80.0,2.9446923076923075
-50.0,-78.0,2.808461538461539
-50.0,-76.0,2.4623076923076925
-50.0,-74.0,3.5644615384615386
-50.0,-72.0,3.976230769230769
-50.0,-70.0,3.825384615384615
-50.0,-68.0,3.850230769230769
-50.0,-66.0,3.8979230769230773
-50.0,-64.0,3.8606153846153846
-50.0,-62.0,3.7716923076923075
